CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
IEHD,CHUQUISACA,2.4055819,3.4806188,6.07375675,2.1509063,0,15.14691245,19.21043499,22.98353253,26.13799148,30.98741239,28.50898229,28.627427,22.66201769,22.38489498,33.16233794,32.6771818,45.70928088,38.509699,,38.509699,44.08225813,0,14.11002138,29.568765,23.201375,24.720984,0,48.56535497,24.91810102,38.152237,38.152237,36.50391326,36.702036,36.702036,41.73884125,37.336306,54.03295624,54.876832,56.33145222,55.052406,64.84346856,52.997983,64.14798029,59.939695,39.84907902,50.606217
IEHD,LA PAZ,2.4055819,3.4806188,6.07375675,2.1509063,0,34.35337777,43.02693325,51.47779922,58.38399249,69.55694738,63.85352725,64.38753327,51.07257699,50.44824242,74.73707895,73.64369406,103.0137894,86.788283,,86.788283,99.34700976,0,31.79937671,66.638338,52.28831872,55.713024,0,109.45044554,56.15726009,85.982684,85.982684,82.26789796,82.956082,82.956082,94.34056066,84.389696,122.09114192,123.928623,127.21359763,124.325123,146.46156634,119.685607,144.89072993,135.362111,90.01383513,114.312795
IEHD,COCHABAMBA,2.4055819,3.4806188,6.07375675,2.1509063,0,23.96432926,30.01485224,34.39544947,40.90398234,48.35114227,44.54312857,46.16902942,37.0959876,36.6436281,54.28608791,53.49189629,74.82518375,63.03961,,63.03961,72.16177971,0,23.09782389,48.40348,37.98018887,40.467759,0,79.50052044,40.79043565,62.454454,62.454454,59.75617967,62.367074,62.367074,70.92602134,63.444876,91.74143507,93.033458,95.49949587,93.331111,109.98140802,89.848218,108.80183026,101.616601,67.57356138,85.814838
IEHD,ORURO,2.4055819,3.4806188,6.07375675,2.1509063,0,12.16086622,18.21441076,19.41340562,25.77078197,27.75939288,25.7332095,25.86161795,20.48071885,20.23029187,29.97037835,29.53192137,41.30964598,34.803041,,34.803041,39.83922852,0,12.75189595,26.722696,20.96818339,22.341525,0,43.89081568,22.51967059,34.479987,34.479987,32.99031844,34.922079,34.922079,39.71461177,35.525589,51.36352848,52.074708,53.45505219,52.241317,61.5656339,50.291796,60.90532744,56.879051,37.82374145,48.034145
IEHD,POTOSI,2.4055819,3.4806188,6.07375675,2.1509063,0,17.86360254,22.02707011,25.74202696,31.98003856,35.91953442,33.20194089,32.5227756,25.43505777,25.12329235,37.2191656,36.67465963,51.3010059,43.220681,,43.220681,49.4749456,0,15.83613382,33.185982,26.03965411,27.74516,0,54.50647024,27.96639153,42.819491,42.819491,40.96952343,42.073153,42.073153,47.84706358,42.800244,61.91890546,62.846091,64.51195302,63.047163,74.2746335,60.694394,73.4780461,68.644189,45.65733336,57.982391
IEHD,TARIJA,2.4055819,3.4806188,6.07375675,2.1509063,0,13.30770533,15.98574927,20.20046328,22.43577374,26.74374906,24.54351333,25.46487216,20.46993901,20.22035582,29.95565882,29.51741616,41.28935723,34.785949,,34.785949,39.81966174,0,12.74563291,26.709571,20.95788507,22.330554,0,43.8692593,22.50861024,34.463053,34.463053,32.97411563,34.661909,34.661909,39.41873706,35.260922,50.99146594,51.717208,53.08807577,51.882673,61.13577127,49.946536,60.48007498,56.488569,37.56407613,47.704384
IEHD,SANTA CRUZ,2.4055819,3.4806188,6.07375675,2.1509063,0,26.81578895,33.12460876,40.41358797,48.85361836,54.93609944,50.75172001,55.83713724,46.05466846,45.49581165,67.40024832,66.41419952,92.90107568,78.268403,,78.268403,89.59425999,0,28.67768018,60.09655,47.15525201,50.243757,0,98.70585656,50.64438462,77.541887,77.541887,74.1917777,81.842724,81.842724,93.07441395,83.257099,120.33924032,121.939682,125.17193712,122.329819,144.18796829,117.764764,142.64151698,133.189673,88.56919629,112.478181
IEHD,BENI,2.4055819,3.4806188,6.07375675,2.1509063,0,14.48808275,14.98763338,19.48666782,22.34471748,26.08925394,24.17143841,24.96112716,20.02170179,19.77748442,29.29956216,28.87092031,40.38502718,34.024058,,34.024058,38.94752135,0,12.46647474,26.124571,20.49886015,21.841464,0,42.90842342,22.01562066,33.708234,33.708234,32.25190808,33.33739,33.33739,37.91244869,33.913514,49.03934646,49.730594,51.04880225,49.889703,58.78981298,48.027939,58.15927794,54.318671,36.12112628,45.871914
IEHD,PANDO,2.4055819,3.4806188,6.07375675,2.1509063,0,10.52268619,13.71181637,13.38889268,16.8338815,19.41271738,18.355659,18.93448287,15.17992084,14.99475348,22.21413082,21.88914613,30.61882869,25.796115,,25.796115,29.52895116,0,9.4517415,19.806939,15.5416779,16.559604,0,32.53199916,16.69164345,25.556666,25.556666,24.45251857,26.58973,26.58973,30.23877226,27.049244,39.11448802,39.667621,40.71909028,39.794535,46.89305586,38.309498,46.39011655,43.327303,28.81202666,36.589745
FONDO DE COMPENSACIÓN,CHUQUISACA,0,0,0,0,0,0,0,3.096775,2.569765,1.392073,0,5.71244,3.187289,7.590002,4.598078,12.903843,5.27285,8.855599,,8.855599,7.348464,0,0,10.747416,1.730685,5.451084,0,5.5059355,15.55386709,6.257597,6.257597,6.23745334,,0,0,0,0,0,0,0,0,0,0,0,0,
